Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,0,582,0,0,0,0,0,,,,
2,0,788,0,0,0,0,0,,,,
3,0,934,0,0,0,0,0,,,,
4,0,1041,0,0,0,0,0,,,,
5,0,1121,0,0,0,0,0,,,,
6,0,1173,0,0,0,0,0,,,,
7,0,1220,0,0,0,0,0,,,,
8,0,1249,0,0,0,0,0,,,,
9,0,1265,0,0,0,0,0,,,,
10,0,1279,0,0,0,0,0,,,,
11,0,1284,0,0,0,0,0,,,,
12,0,1291,0,0,0,0,0,,,,
13,0,1292,0,0,0,0,0,,,,
14,0,1292,0,0,0,0,0,,,,
15,0,1292,0,0,0,0,0,,,,
16,0,1292,0,0,0,0,0,,,,
17,0,1292,0,0,0,0,0,,,,
18,0,1292,0,0,0,0,0,,,,
19,0,1292,0,0,0,0,0,,,,
20,0,1292,0,0,0,0,0,,,,
21,0,1292,0,0,0,0,0,,,,
22,0,1292,0,0,0,0,0,,,,
23,0,1292,0,0,0,0,0,,,,
24,0,1292,0,0,0,0,0,,,,
25,0,1292,0,0,0,0,0,,,,
26,0,1292,0,0,0,0,0,,,,
27,0,1292,0,0,0,0,0,,,,
28,0,1292,0,0,0,0,0,,,,
29,0,1292,0,0,0,0,0,,,,
30,204244,67499,28649,0,0,0,785433,,,,
31,230019,74893,31351,0,0,0,856527,,,,
32,254830,82252,33932,0,0,0,924455,,,,
33,285283,91368,37081,0,0,0,1007332,,,,
34,319601,101768,40616,0,0,0,1100348,,,,
35,358409,113797,44606,0,0,0,1205358,,,,
36,397382,125930,48611,0,0,0,1310740,,,,
37,442648,140212,53260,0,0,0,1433084,,,,
38,493171,156432,58449,0,0,0,1569631,,,,
39,553628,176105,64658,0,0,0,1733029,,,,
40,618163,197376,71286,0,0,0,1907449,,,,
41,687486,220329,78405,0,0,0,2094807,,,,
42,770066,247727,86886,0,0,0,2317996,,,,
43,859513,277445,96073,0,0,0,2559746,,,,
44,966936,313151,107105,0,0,0,2850078,,,,
45,1080757,350988,118795,0,0,0,3157702,,,,
46,1210627,394162,132133,0,0,0,3508703,,,,
47,1358435,443298,147313,0,0,0,3908183,,,,
48,1530677,500557,165003,0,0,0,4373702,,,,
49,1719259,563247,184371,0,0,0,4883384,,,,
